Document_Title,Authors,Author_Affiliations,Publication_Title,Date_Added_To_Xplore,Publication_Year,Abstract,Author_Keywords,IEEE_Terms,INSPEC_Controlled_Terms,Online_Date,Publisher
Study on Human-Computer Interaction platform for computer wargame,"Liu Jihong,  Xu Xiaodong,  Xu Xinhe","College of Information Science and Engineering, Northeastern University, Shenyang, China,  College of Information Science and Engineering, Northeastern University, Shenyang, China,  College of Information Science and Engineering, Northeastern University, Shenyang, China",2008 Chinese Control and Decision Conference,12-Aug-08,2008,"Based on Human-Computer Interaction (HCI) and visualization technologies, we focused on the research of the Human-Computer Interaction platform of the wargame. Starting with analyzing the handcraft wargame, we studied the key technologies in the representation modules for battlefield environment and situation of battlefield, and finally set up a HCI platform model of the wargame. Testing experiment indicated that our work presented in this paper provided a reasonable and open platform for computer wargame system. And also, this platform could be appended rule module and decision-making module conveniently to take a further step to form an integrated computer wargame system.","[Wargame, Human-Computer Interaction, Visualization]","[Electronic mail, Computers, Human computer interaction, Visualization, Roads, Information science, Analytical models]","[computer games, data visualisation, decision making, human computer interaction]",12-Aug-08,IEEE
Using multiple graphics cards as a general purpose parallel computer: applications to computer vision,"J. Fung,  S. Mann","Department of Electrical and Computer Engineering, University of Toronto, Toronto, ONT, Canada,  Department of Electrical and Computer Engineering, University of Toronto, Toronto, ONT, Canada","Proceedings of the 17th International Conference on Pattern Recognition, 2004. ICPR 2004.",20-Sep-04,2004,"Pattern recognition and computer vision tasks are computationally intensive, repetitive, and often exceed the capabilities of the CPU, leaving little time for higher level tasks. We present a novel computer architecture which uses multiple commodity computer graphics devices to perform pattern recognition and computer vision tasks many times faster than the CPU. This is a parallel computing architecture that is quickly and easily constructed from the readily available hardware. It is based on parallel processing done on multiple graphics processing units (GPUs). An eigenspace image recognition approach is implemented on this parallel graphics architecture. This paper discusses methods of mapping computer vision algorithms to run efficiently on multiple graphics devices to maximally utilize the underlying graphics hardware. The additional memory and memory bandwidth provided by the graphics hardware provided for significant speedup of the eigenspace approach. We show that graphics devices parallelize well and provide significant speedup over a CPU implementation, providing an immediately constructible low cost architecture well suited for pattern recognition and computer vision.",,"[Computer vision, Computer graphics, Computer applications, Concurrent computing, Application software, Computer architecture, Pattern recognition, Central Processing Unit, Hardware, Parallel processing]","[computer graphics, parallel architectures, computer graphic equipment, computer vision, image recognition, image matching, rendering (computer graphics)]",20-Sep-04,IEEE
Teaching computer networks for distance computer science students: An instructor's perspective,"W. Li,  P. Liu","Graduate School of Computer and Information Sciences, Nova Southeastern University, Fort Lauderdale, FL, USA,  Graduate School of Computer and Information Sciences, Nova Southeastern University, Fort Lauderdale, FL, USA",2011 International Conference on Electrical and Control Engineering,24-Oct-11,2011,"This paper shows some experiences and observations on distance education in teaching a Computer Networks course for Computer Science masters students in an US institution. Some lessons and effective strategies to better engage students are presented. Data has been collected to show the effectiveness of distance education in teaching the course. Students' performances for both on-campus and online courses are compared. Based on the results, it is apparent that distance education has been, and will continue to be an effective means for knowledge delivery.","[distance education, computer networks, computer science]","[Computer science, Computer aided instruction, Computer networks, Educational institutions, Servers, Protocols]","[computer networks, computer science education, courseware, distance learning, educational courses, teaching]",24-Oct-11,IEEE
Research on the application of video cases in computer education of college students,"H. Chen,  T. Xie","College of Computer and Information Science, Southwest University, Chongqing, China,  College of Computer and Information Science, Southwest University, Chongqing, China",2011 6th International Conference on Computer Science & Education (ICCSE),26-Sep-11,2011,"The cultivation of computer capability plays a very important role in computer education of college students. The video case based instruction can promote the reformation of college students' computer skill training. This paper mainly introduces the advantages of video case based instruction used in computer education of college students, illustrates the design methods of video cases, and explores how to apply video cases into classroom teaching.","[Video case, Computer Education, Video case teaching Design and production]","[Computers, Educational institutions, Materials, Production, Multimedia communication, Atmosphere]","[computer aided instruction, computer science education, hypermedia, teaching]",26-Sep-11,IEEE
Teaching computer systems through common principles,M. A. Holliday,"Department of Mathematics and Computer Science, Western Carolina University, USA",2011 Frontiers in Education Conference (FIE),02-Feb-12,2011,"Computer system subjects ranging from computer organization and operating systems to computer networking and database systems form an integral part of a computer science or computer engineering major. Because the subjects are usually taught as separate courses, students may not recognize that they share many design principles. We identify a set of these principles and demonstrate how they apply to all these aspects of a computer system. In our experience, students' understanding of these subjects and how they are inter-related improves when we identify and illustrate these common principles.","[Computer Systems, Design Principles, Computer Organization, Operating Systems, Computer Networking, Database Systems]","[Computers, Operating systems, Database systems, Organizations, Switches, Bandwidth, Delay]","[computer networks, computer science education, database management systems, educational courses, file organisation, operating systems (computers), teaching]",02-Feb-12,IEEE
Modeling and analysing computer animations,L. Pini Magalhaes,"Sch. of Electr. & Comput. Eng., State Univ. of Campinas, Brazil","Proceedings SIBGRAPI'98. International Symposium on Computer Graphics, Image Processing, and Vision (Cat. No.98EX237)",06-Aug-02,1998,Computer animation is a multifaceted field of computer graphics. This presentation explores one of these facets. At first computer animation is surveyed through the use of a framework to help to order and classify its main approaches related to movement modeling. Then the use of Petri nets as a modeling and simulation tool to obtain some kind of foresight of a developed animation is discussed.,,"[Petri nets, Facial animation, Equations, Mathematical model, Layout, Concrete, Computer industry, Automation, Computer graphics, Computational modeling]","[computer animation, Petri nets]",06-Aug-02,IEEE
Work in progress - introduction to computers: An interdisciplinary approach,"L. Carter,  S. Osborne","Department of Mathematical, Information and Computer Sciences, Point Loma Nazarene University, San Diego, CA, USA,  Department of Mathematical, Information and Computer Sciences, Point Loma Nazarene University, San Diego, CA, USA","2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",04-Jan-08,2007,"Computing is now a necessary part of all academic disciplines, not just the one labeled Computer Science. However, most of our service courses in computing fail to adequately address these interdisciplinary needs. In the past, the typical computer literacy course has been an overview of Microsoft Office, or some similar set of tools. Most students entering the university today already have a working knowledge of these programs. Instead, they need a more in-depth understanding of the computing tools required for a specific discipline. Our current research is exploring the possibility of a new computer literacy curriculum designed to better meet the needs of the entire student population. The concept includes developing one unit modules to cover topics of interest to a particular major or group of majors. Each discipline could choose one or two modules to include in their required curriculum, or to recommend to their students. This paper presents the techniques used for, and preliminary results of a study designed to understand the computing needs of the various disciplines as a precursor to designing such modules.","[Computer Literacy, Computer Science Education, Interdisciplinary Computer Science]","[Physics computing, Computer science, Educational institutions, Computer science education, Art, Internet, Computational modeling, Analytical models, Computer simulation, Web design]","[computer literacy, educational courses]",04-Jan-08,IEEE
Using motivation derived from computer gaming in the context of computer based instruction,"M. Brayshaw,  N. Gordon","Department of Computer Science, University of Hull, Hull, United Kingdom,  Department of Computer Science, University of Hull, Hull, United Kingdom",2016 SAI Computing Conference (SAI),01-Sep-16,2016,"This paper explores how to exploit game based motivation as a way to promote engagement in computer-based instruction, and in particular in online learning interaction. The paper explores the human psychology of gaming and how this can be applied to learning, the computer mechanics of media presentation, affordances and possibilities, and the emerging interaction of playing games and how this itself can provide a pedagogical scaffolding to learning. In doing so the paper focuses on four aspects of Game Based Motivation and how it may be used,  (i) the game player's perception,  (ii) the game designers' model of how to motivate,  (iii) team aspects and social interaction as a motivating factor,  (iv) psychological models of motivation. This includes the increasing social nature of computer interaction. The paper concludes with a manifesto for exploiting game based motivation in learning.","[eLearning, Game based learning, gamification, motivation, Computer Based Instruction, Education Systems Design, Computer Based Instruction]","[Games, Computers, Psychology, Education, Context, Computational modeling, Human computer interaction]","[computer aided instruction, computer games, human factors, psychology]",01-Sep-16,IEEE
Study of feedback teaching for computer culture basics,"Wu Jiehong,  Gao Fuxiang","Engineering Training Center, Shenyang Institute of Aeronautical Engineering, Shenyang, China,  College of Information Science and Engineering, Northeastern University, Shenyang, China",2009 4th International Conference on Computer Science & Education,01-Sep-09,2009,"Computer Culture Basics is one of our school's excellent courses, it's teaching quality measures the level of computer basic education. The feedback teaching, a new teaching model is put forward which aim at the teaching problems of this computer curriculum. The feedback teaching is student-centered, the dominant position of students in learning process is emphasized, and the guidance, inspection and timely feedback role of the teacher in teaching process is emphasized also. Through the adoption of teaching model, both the students' ability to self-study is cultivated, as well as making the studying effect good. The superiority of the teaching model is proved through comparison in the actual teaching environment.","[Computer Culture Basics, Feedback Teaching, the Reform of Teaching Model, Mission-driven]","[Feedback, Computer science education, Educational institutions, Computer networks, Computer science, Multimedia systems, Home computing, Computer applications, Aerospace engineering, Inspection]","[computer science education, teaching]",01-Sep-09,IEEE
Putting computer engineering and computer science programs together — The case of AlBaha university,N. Hassan,"Department of Computer Science & Computer Engineering, AlBaha University Al-Baha, Saudi, Arabia",2017 12th International Conference on Computer Science and Education (ICCSE),30-Oct-17,2017,"In the universities where undergraduate Computer Engineering (CE) and Computer Science (CS) programs are offered, people often wrongly argue that the CE program should be offered under College of Engineering instead of under the college where CS program is offered, this is mostly because they think CE program has “Engineering” word in it. This school of thought does not realize that by this, it will take CE program apart from CS program, which will break the natural alliance of both of these programs. In this paper, this natural alliance of CE and CS programs is discussed, which gives strong argument that both CE and CS programs should be put together under the same college. To further support these arguments of putting CE and CS programs together, the best practices adopted in this regards by the top 10 universities in KSA, USA, UK and other European Universities are studied and results are provided to prove that CE and CS programs should be put together under the same college. Since, this is the current debate at AlBaha University in Saudi Arabia (KSA), therefore the case of AlBaha University is presented to settle the argument.","[undergraduateprograms, computer engineering, computer ccience, computing education, best practices, student success]","[Computer science, Information systems, Electrical engineering, Information technology, Artificial intelligence, Best practices, Hardware]","[computer science education, educational institutions, further education, teaching]",30-Oct-17,IEEE
Hybrid gaze/EEG brain computer interface for robot arm control on a pick and place task,"H. Wang,  X. Dong,  Z. Chen,  B. E. Shi","Department of Electronic and Computer Engineering (HW XD, ZC, BES), Hong Kong University of Science and Technology, Kowloon, Hong Kong,  Department of Electronic and Computer Engineering (HW XD, ZC, BES), Hong Kong University of Science and Technology, Kowloon, Hong Kong,  Department of Electronic and Computer Engineering (HW XD, ZC, BES), Hong Kong University of Science and Technology, Kowloon, Hong Kong,  Department of Electronic and Computer Engineering (HW XD, ZC, BES), Hong Kong University of Science and Technology, Kowloon, Hong Kong",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),05-Nov-15,2015,We describe a hybrid brain computer interface that integrates gaze information from an eye tracker with brain activity information measured by electroencephalography (EEG). Users explicitly control the end effector of a robot arm to move in one of four directions using motor imagery to perform a pick and place task. Measurements of the natural eye gaze behavior of subjects is used to infer the instantaneous intent of the users based on the past gaze trajectory. This information is integrated with the output of the EEG classifier and contextual information about the environment probabilistically using Bayesian inference. Our experiments demonstrate that subjects can achieve 100% task completion within three minutes and that the integration of EEG and gaze information significantly improves performance over either cue in isolation.,"[Hybrid Brain Computer Interface (BCI), gaze control, human computer interaction, assistive technology, robotics, eye tracker, EEG, motor imagery]","[Electroencephalography, End effectors, Brain-computer interfaces, Trajectory, Hidden Markov models, Robot sensing systems]","[belief networks, brain-computer interfaces, electroencephalography, inference mechanisms, manipulators, medical robotics, medical signal processing]",05-Nov-15,IEEE
Discussion and application in the mode of the “Teaching-studying-practicing” in computer basic teaching,"X. Jiali,  S. Xia","Computer engineering Department, Zhejiang Institute of Mechanical and Electrical Engineering, HangZhou, China,  Computer engineering Department, Zhejiang Institute of Mechanical and Electrical Engineering, HangZhou, China",2012 7th International Conference on Computer Science & Education (ICCSE),06-Sep-12,2012,"The new teaching method “Teaching-learning-practicing” is one based on traditional teaching theory basis and task-driving teaching method. In higher college education, computer theory teaching method can teach students basic knowledge, while task-driving teaching method can better arouse their interest and raise their study efficiency so as to satisfy society's need for skilled talents with higher quality. In the following article, the writer, according to the teaching practice, designs how to use this new teaching method in college compter basic teaching and proposes some precautions in classroom teaching and practice teaching.","[curriculum design, computer teaching task-driven, group-teaching]","[Computers, Educational institutions, Computer science, Electrical engineering, Sun, Australia]","[computer science education, educational courses, further education, teaching]",06-Sep-12,IEEE
Learning Computer Network with Auxiliary Software,C. Yuan,"School of Computer Science & Software, Tianjin Professional University, Tianjin, China",2010 Second International Workshop on Education Technology and Computer Science,06-May-10,2010,"Computer network course is a fundamental course for the computer major college student which explains the architecture of network based on TCP/IP. But because the course is abstract in some degree, it's hard for students to understand. We propose a learning method that utilizes the auxiliary software to simulate the network topology and configure the network protocols for the students to understand and analyze the learned network knowledge in time. After practicing for several years, we find this method is very helpful for student to study computer network course.","[computer network teaching, simulation software, network monitoring software]","[Computer networks, Computer architecture, Protocols, Physical layer, TCPIP, Computational modeling, Education, IP networks, Computer science, Analytical models]","[computer networks, computer science education, courseware, educational courses, network topology, transport protocols]",06-May-10,IEEE
Design of Teaching System for Computer Network Application Learning,"L. Li,  T. Chen,  Q. Shi,  W. Hu","Instructional Division of Computer Technology, Zhejiang Science and Technology University, China,  College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China,  College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China,  College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China",2010 10th IEEE International Conference on Computer and Information Technology,16-Sep-10,2010,"Driven by continuing scaling of Moore's law, computer system becomes more and more complicated. The Network application technology of the computer is a basic course in computer architecture. Computer assisted teaching system is used to make the students understand the Network application technology of the computer more easily. A multimedia teaching system is introduced in this paper. The system consists of netmeeting subsystem, streaming media subsystem, TCP/IP control subsystem, FTP subsystem, remote management subsystem, process management subsystem, and user management interface. Some further optimizations, such as load balance and data compression, are employed in the system to improve the user experience.","[multimedia, teaching environment]","[Education, Computers, Streaming media, Multimedia communication, Servers, Computer networks]","[computer aided instruction, computer architecture, computer science education, multimedia computing, teaching]",16-Sep-10,IEEE
Robot design using Unity for computer games and robotic simulations,"W. A. Mattingly,  D. -j. Chang,  R. Paris,  N. Smith,  J. Blevins,  M. Ouyang","Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA,  Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA,  Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA,  Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA,  Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA,  Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA",2012 17th International Conference on Computer Games (CGAMES),01-Oct-12,2012,"We present a new approach to robot design, using the Unity development environment as the primary authoring tool for a functional virtual robot. We also discuss the development of a collection of design assets in the form of Unity packages which we have found to greatly improve the workflow and accessibility of robot design for computer games and robotic simulations.","[Computer Games, Hierarchical Skeleton Structures, Locomotion Animation, Unity Game Engines, Robotic Simulation]","[Games, Animation, Joints, Service robots, Computers, Computational modeling]","[authoring systems, computer games, graphical user interfaces, mobile robots, virtual reality]",01-Oct-12,IEEE
Multi-Cycle CPU Design With FPGA for Teaching of Computer Organization Principle,"X. Liu,  L. Fu,  W. Rao,  X. Lin,  M. Liao,  B. Shi","Computer Science and Technology School, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology School, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology, Wuhan University of Technology, Wuhan, China,  Electrical and Computer Engineering, University of Victoria, Victoria, Canada,  Computer Science and Technology School, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology School, Wuhan University of Technology, Wuhan, China",2019 14th International Conference on Computer Science & Education (ICCSE),23-Sep-19,2019,"CPU design with programmable FPGA has become a significant solution for the experiment teaching of computer organization principle. In this paper, the design concept, implementation technique and verification method of a multi-cycle MIPS CPU are presented. To decrease the CPU design complexity, the hierarchical division approach which divides the CPU into a serial of easy-to-implement modules is proposed. To help the students master the intricate FPGA development process in an easy-to-understand way, the easy-to-hard progressive implementation technique is investigated. To verify the functionality of each CPU module, the variable-control approach which verifies the CPU modules progressively by comparing with the standard ones is explored. The experiment cases have been carried out for six years, and the course survey results showed that the new experiment design with the new implementation approaches had improved the teaching quality of the computer organization experiment significantly.","[Computer organization, experiment, CPU, FPGA]","[Central Processing Unit, Field programmable gate arrays, IP networks, Organizations, Education, Computer science, Standards organizations]","[computer aided instruction, computer science education, electronic engineering computing, electronic engineering education, field programmable gate arrays, formal verification, microprocessor chips, teaching]",23-Sep-19,IEEE
Development of a SPOC of Computer Ethics for students of Computer Science degree,"A. García-Holgado,  F. J. García-Peñalvo,  R. Therón,  A. Vázquez-Ingelmo,  A. Gamazo,  C. S. González-González,  R. M. G. Iranzo,  I. F. Silveira,  M. Alier Forment","Computer Science Department, GRIAL Research Group, IUCE University of Salamanca, Salamanca, Spain,  Computer Science Department, GRIAL Research Group, IUCE University of Salamanca, Salamanca, Spain,  Computer Science Department, GRIAL Research Group, IUCE University of Salamanca, Salamanca, Spain,  Computer Science Department, GRIAL Research Group, IUCE University of Salamanca, Salamanca, Spain,  Didactics, Organization and Research Methods Department, GRIAL GRIAL Research Group, IUCE University of Salamanca, Salamanca, Spain,  Computer and Systems Engineering Department, University Institute of Women’s Studies Universidad de La Laguna, San Cristóbal de La Laguna, Spain,  Computer Science and Industrial Engineering Department, Universitat de Lleida, Lleida, Spain,  Faculdade de Computação e Informática, Universidade Presbiteriana Mackenzie, Sao Paulo, Brazil,  Department of Service and Information System Engineering, BCN-SEER BarcelonaTech, Barcelona, Spain",2021 XI International Conference on Virtual Campus (JICV),11-Nov-21,2021,"Technology brings different benefits to society and involves challenges and ethical dilemmas that must be considered during any technology development. In this sense, graduates must recognise the social, legal, ethical and cultural issues inherent to the discipline of computer science. However, there is a lack of integration of computer ethics in the computer science curriculum in Spanish universities. This work introduces a pilot experience to develop a Small Private Open Course (SPOC) to introduce computer ethics as an extracurricular activity in the Bachelor’s Degree of Computer Engineering at the University of Salamanca.","[computer ethics, engineering, higher education, SPOC, innovation]","[Computer science, Ethics, Technological innovation, Law, Proposals, Cultural differences]","[computer science education, cultural aspects, educational courses, educational institutions, ethical aspects, further education, law]",11-Nov-21,IEEE
Research on Curriculum Design of Computer English,"P. Hu,  T. He,  H. Wang","Department of Computer Science, Huazhong Normal University, Wuhan, China,  Department of Computer Science, Huazhong Normal University, Wuhan, China,  School of Energy and Power Engineering, Huazhong University of Science and Technology, Wuhan, China",2009 First International Workshop on Education Technology and Computer Science,26-May-09,2009,"The popularization of computer applications has prompted us to research into the teaching experiment and curriculum design on computer English curriculum reforms both in computer and correlative majors and in non-computer majors at two different levels. In the research, four parts of curriculum structure, known as curriculum objectives, curriculum contents, learning resources and learning models have been completely introduced to find out the rules of curriculum designs in computer English, and all of these parts are represented in our developed three-dimensional teaching materials so as to help students to make overall progress in language skills, language knowledge, cultural awareness, emotional attitude and learning strategies.","[computer English, curriculum design, three-dimensional teaching materials]","[Natural languages, Computer science, Power engineering computing, Cultural differences, Computer science education, Educational technology, Power engineering education, Helium, Power engineering and energy, Computer applications]","[computer aided instruction, computer science education, teaching]",26-May-09,IEEE
Application of schema theory in the course of foundations of computers,"W. Jing,  R. Gao","School of Computer Science, Xi'an Shiyou University, Xi'an, Shaanxi, China,  School of Computer Science, Xi'an Shiyou University, Xi'an, Shaanxi, China",2009 4th International Conference on Computer Science & Education,01-Sep-09,2009,"In the paper, combined with the course of foundations of computers, applications of schema theory in the teaching of the course are introduced. Further, guided by the theory, the concrete methods how to activate original schemas and keep helping students building up new schemas in students' brain are probed.","[schema theory, cognitive psychology, foundations of computers]","[Application software, Humans, Computer science, Psychology, Databases, Computer networks, Computer science education, Computer applications, Concrete, Computers and information processing]","[computer science education, educational courses, teaching]",01-Sep-09,IEEE
Impact of Mobile Application on Student Enguagement and Public Consciousness Toward Computer Laboratory Use,"P. Yangyuen,  A. Gongmanee,  N. Chaiarporn","Computer Science Department, Maejo University, Chiangmai, Thailand,  Computer Science Department, Maejo University, Chiangmai, Thailand,  Statistics Department, Maejo University, Chiangmai, Thailand","2019 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT-NCON)",18-Apr-19,2019,The study was carried out to determine whether computer science students at Maejo university would prefer to use a checklist mobile application for computer laboratory care and maintenance and also whether their engagement and public consciousness could be boosted by the use the checklist application with an instructor repeatedly guidance. The study used a purposive sampling method to collect data from 81 sophomores who attended the 2018 database system class. Nonparametric methods were used to test hypotheses. The results revealed that student engagement and public consciousness toward computer laboratory care were significantly improved after using the checklist application. The students indicated that they satisfy with the application and suggested that the department should continue to use it.,"[Public Consciousness, Student Enguagement, Mobile Application, Computer Laboratory]","[Mobile applications, Computer science, Education, Maintenance engineering, Instruments, Mobile handsets, Digital art]","[computer aided instruction, computer science education, laboratories, mobile learning, sampling methods]",18-Apr-19,IEEE
Study on Curriculum Reform of Computer Operating System,"J. Niu,  Z. Hu,  X. Xiao","College of hydroelectricity and digitalization Engineering, HUST, Wuhan, China,  College of Computer Science, Wuhan University of China, Wuhan, China,  College of hydroelectricity and digitalization Engineering, HUST, Wuhan, China",2009 First International Workshop on Education Technology and Computer Science,26-May-09,2009,"ldquoOperating Systemrdquo is an important course of specialty of computer science and technology. With the rapid development of computer science and technology, the teaching and learning of ldquoOperating Systemrdquo must continue its reform in order to adapt to the new computer operating system environment. Based on years of teaching reform and practices,some experiences and ideas about the reform of ldquoOperating Systemrdquo is presented in this paper for the purpose of interexchange.","[curriculum reform, operating system, practice teaching, curriculum design]","[Operating systems, Education, Computer science, Educational institutions, Memory management, Computer network management, Control systems, Computer interfaces, Hardware, Algorithm design and analysis]","[computer science education, educational courses, operating systems (computers)]",26-May-09,IEEE
Research on design of knowledge structure design and education option in college computer courses starting with social investigation and analysis,"Wang Jianhang,  Shao Qian","Electronic Engineering Department of Jilin, Communications Polytechnic, Changchun, China,  Department of Computer Science Institute, College of traffic management cadres, Beijing, China",2010 2nd International Conference on Education Technology and Computer,29-Jul-10,2010,"The paper starts with the traditional college computer education in China lagged behind social demand. Based on substantial social investigations and teaching practices, it analyzes and discusses the concrete reform methods for college computer courses system. Meanwhile, it proposed orientation of software development and goals of future computer education, expecting find concrete reform methods for current college professional computer education.","[courses system, computer jobs, IT market demand, computer education]","[Computer science education, Educational institutions, Systems engineering education, Concrete, Computer industry, Educational technology, Educational products, Application software, Recruitment, Computer applications]","[computer science education, educational courses, software engineering, teaching]",29-Jul-10,IEEE
Incorporating lab experience into computer security courses,"L. ben Othmane,  V. Bhuse,  L. T. Lilien","Department of Mathematics and Computer Science, Eindhoven University of Technology, Eindhoven, Netherlands,  Computer Information Sciences Department and Cisco Academy, ECPI University, Newport News, VA, USA,  Department of Computer Science, Western Michigan University, Kalamazoo, MI, USA",2013 World Congress on Computer and Information Technology (WCCIT),03-Oct-13,2013,"We describe our experience with teaching computer security labs at two different universities. We report on the hardware and software lab setups, summarize lab assignments, present the challenges encountered, and discuss the lessons learned. We agree with and emphasize the viewpoint that security labs must train the students not just in “security hacking” but also in a broad range of fundamental security concepts and challenges. Approached in this way, computer security labs significantly facilitate and reinforce students' understanding of networking, security concepts and security challenges.","[Computer security education, hacking, security challenges, security labs]","[Educational institutions, Computer crime, Software, Servers]","[computer aided instruction, computer crime, computer science education, educational courses, educational institutions, student experiments]",03-Oct-13,IEEE
Study examining whether the computer science curriculum at the sudanese high secondary schools is adequate to qualify the students to be computer literate,A. Y. Elmubark,"Sudan University of Science and Technology, Khartoum, Khartoum, SD",2014 IST-Africa Conference Proceedings,21-Aug-14,2014,"As the use and demand for computers are growing so fast, it is very important that every student today acquire computer basic training. Computer literacy will give them all the benefits and advantages to progress their education and future career too. Sudanese students start learning computers at high secondary school. The computer science curriculum at the Sudanese high secondary schools aims at qualifying the students to be computer literate, preparing them for entering college or the workplace. Nevertheless, this curriculum only introduces the students to computer hardware, peripheral devices and operating systems, it neglects to teach them the usage skills, basic computer applications, how to work with the Internet or emails. Also, it does not teach graphics and multimedia or gives the students the knowledge on how to install a computer program, keep their computers running in the most basic sense or how to handle the basic, day to day computer problems. Instead, it overwhelmed those beginners with programming, data processing, data analysis and system design. Accordingly, it has become clear that computer science curriculum at the Sudanese high secondary schools is not adequate to qualify the students to be computer literate or preparing them for entering college or the workplace, and that it needs massive revision and modification.","[computer literate, computer science curriculum, computer skills, high school students, beginners]","[Computers, Educational institutions, Computer science, Operating systems, Internet, Hardware, Databases]","[computer aided instruction, computer literacy, educational courses, Internet]",21-Aug-14,IEEE
Bulid a laboratory cloud for computer network education,C. Yan,"Faculty of Computer Science, Ningbo City College of Vocational Technology Ningbo, China",2011 6th International Conference on Computer Science & Education (ICCSE),26-Sep-11,2011,"Hands-on practical experience through lab work has long been recognized as an important part of the computer network education. Successful computer network hands-on activities require a full range of related devices with actively maintaining. This paper presents prototype architecture of a Xen-based Networks Laboratory Service Cloud (NLS-Cloud, original CLESP) that can provide an entire computer networks hands-on practical environment with uniformed deployment and management as an online service to learners and instructors. The prototype NLS-Cloud has been investigated by introducing a series of surveys. The instructor survey results showed that the prototype NLS-Cloud exerted a certain positive effect on the hands-on pedagogical activities while the learner survey results indicated that students had a favorable view of the NLS-Cloud and regarded it as a useful learning tool.","[computer network education, laboratory cloud, Xen Cloud Platform, hands-on practices]","[Computer networks, Education, Servers, Laboratories, Hardware, Computer architecture, Prototypes]","[cloud computing, computer aided instruction, computer networks, computer science education]",26-Sep-11,IEEE
Experience and ideas on basic computer teaching in independent colleges,Wu Peng,"Computer Center, Henan University, Kaifeng, China",2010 2nd International Conference on Education Technology and Computer,29-Jul-10,2010,"With the particularity of basic computer education in independent colleges and the target to train computer application talented person into consideration, this paper expounds the author's experience and ideas on the teaching content, teaching method and teaching measure in basic computer teaching in independent colleges as well as the author's teaching reform practice and exploration.","[computer teaching, teaching research, independent college]","[Educational institutions, Computer applications, Computer networks, Computer science education, Courseware, Application software, Educational technology, Particle measurements, Knowledge transfer, Production]","[computer science education, teaching]",29-Jul-10,IEEE
The exploration of talent cultivation for vocational and technical undergraduate of computer science,"X. Guo,  J. Zhang","Computer Experiment Teaching Center, Beijing City University, China,  Computer Experiment Teaching Center, Beijing City University, China",2009 4th International Conference on Computer Science & Education,01-Sep-09,2009,"Computer professionals in colleges and universities undergraduate training model should be consistent with the rapid development of market needs. Actively developing vocational and technical-based undergraduate education, the key is: to build an advanced science course system, refinement of professional personnel training programs that emphasize the process of assessment, the use of interactive teaching methods and experiential teaching methods, to strengthen the practice of teaching, the establishment of the laboratory, opening up the Fund, extensive school-enterprise cooperation and promote the teaching profession, and so on.","[Vocational and Technical Type, Computer Science, Training Mode, Project-driven]","[Computer science, Educational institutions, Vocational training, Industrial training, Computer science education, Personnel, Computer industry, Educational programs, Computer networks, Employment]","[computer science education, teaching, vocational training]",01-Sep-09,IEEE
"Development of information systems for computer room services management at major of computer and Information Technology, phase 1","K. Reetanon,  S. Lertkunvanicht,  S. Sombunsukho","Computer and Information Technology Department, King Mongkut''s University of Technology, Bangkok, Thailand,  Computer and Information Technology Department, King Mongkut''s University of Technology, Bangkok, Thailand,  Computer and Information Technology Department, King Mongkut''s University of Technology, Bangkok, Thailand",2010 2nd International Conference on Computer Technology and Development,29-Nov-10,2010,"This research aims to design and develop information systems for the computer room service management at department of computer and Information Technology. During the phase 1, researchers study room services system, design and develop the prototype of information system for managing computer room service. The result of the prototype system found that developed systems are integrated between developed computer program and microcontroller. It can be used to support computer's room service management and the system can work under real situation. After installing the prototype and trial the prototype system showed that the system can support the tasks in computer room services at department of Computer and Information Technology very well with average 4.86 out of 5 score.","[Information System, Computer service]",[Programming],"[computer installation, information systems, information technology]",29-Nov-10,IEEE
